gene	delta	alpha	gamma	ductal	acinar	beta	PSC
BET1	3.19881798314865	3.08744240696358	2.56829726578931	4.05695916525138	3.93723467878365	3.41755653280294	4.71643846842263
COL1A2	0.313911609759073	0.233412910851818	0.226483998114226	0.311280543519202	0.237414801773655	0.162829068908732	12.7667366614062
CASD1	3.34236022184217	2.10290758492318	3.69552296006166	1.65374870313935	1.49393851192089	2.41212717264734	0.896378464293521
PEG10	6.07431758036201	5.58790240636978	8.03965481752905	2.49514237368259	0.810306856217361	4.5405027053903	0.348528999775861
PON3	4.48957547664628	1.44606576055856	4.49659478382046	0.223579685855433	1.39083774066428	2.93996856746807	0.87250974650934
PON2	4.20122646003152	2.81298579945783	4.11487026795796	7.27176189918498	5.79909139518199	4.06050494540744	5.03263640175193
PDK4	3.64950052527918	6.60970710531356	5.48455588489421	3.95725349090146	4.85903327963682	2.40871467794183	3.79561576314036
ACN9	2.71300351594229	1.92619426364151	2.30709932145161	3.12148672310424	3.76156302884109	2.55249904411791	2.67095054837807
ASNS	5.68756491853148	4.29532417834278	3.83874998268682	3.99886050146351	5.60426808350128	6.23720838666922	6.57531625295094
MGC72080	0.716031132189376	1.17715535605778	1.32618495620623	2.2378137214364	3.65831927013	0.96771502344251	1.39193558473502
TECPR1	2.47312873149546	2.64470290378687	2.98376224435935	1.99062897873949	2.49803878804514	2.84594383520482	1.71642305963805
BRI3	5.50620702940231	4.75544853388981	5.26258441836119	6.54346707179059	6.70327250331638	5.23099672087945	6.24784793581168
BAIAP2L1	3.02032916656495	1.68524957586579	2.18353311681325	5.98020943021535	6.11726321137005	1.93519251952669	0.490924202437981
NPTX2	5.49250315078815	1.71427251019476	0.747189660563812	1.51895906594979	2.33207055914612	8.94047243192944	0.590237931593815
TMEM130	3.4830704335202	0.979781743121837	3.24619435688788	0.0246805166364119	0.110284433203223	1.2026683884895	0.0579310207771856
LOC101927550	0.420469884799215	0.465003625440107	0.484003193462237	0.285792698849989	0.295411009064019	0.336089857542666	0.26141996903618
ZNF789	1.24924911459867	1.19241332400702	1.00115476236084	1.10597377627942	0.710525310492439	0.941777368990909	0.84687556933152
CPSF4	1.02104267701487	1.67554922543425	1.5189714280668	1.82461389921506	2.21988703588978	1.38328289785696	2.7995102178611
ARPC1B	5.6024678949246	6.85576653753889	5.08532324266793	8.13746927052572	7.54354517591284	4.93071302634564	8.3450538342382
BUD31	4.79230614106096	5.2395668010728	4.4091076800665	5.8060609670037	5.06382258045018	5.1799455772948	6.58942292519268
